Course Code,Department Name,Course Description,Course Catalog Description,Credits and Level,Special Program Description
H16071,Business,Concepts Of Business Management,"This college-level course builds on the foundations studied in Business Organization and Management. Theories, techniques, and insights of the major management areas are studied, including the functions of planning, organizing, directing/leading, and controlling, as well as concepts that apply to all levels of management. Students are expected to possess advanced skills in research and writing to complete unit projects successfully. This course utilizes a work-team format and hands-on, activity-based learning. Screencasts and slideshows are combined with work-team discussions of content rather than lectures. Students are required to work in teams to assimilate a business workplace environment. The teacher will formulate some teams, while others may be based on student choice. Good attendance and participation are key to student success, as is the ability to get along with others of similar and diverse backgrounds. Chapter quiz assessments are primarily team-based, while all unit tests are expected to be completed individually. Classwork combines individual and team-based activities with major unit projects completed in work teams.Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who cannot meet these expectations should not expect to be successful in these courses.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","Prerequisites: >=73% in Business Organization and Management required; >=80% recommended
Course Highlights: 
Managers & Management
Diversity & Globalization
Decision Making & Planning
Control Systems & Strategic Management
Organizing & HR Management
Leading & Motivating"
H16046,Business,Entrepreneurship,"In this course, students will learn what is involved in starting and operating a successful business by understanding the issues as an owner and customer. Students will discuss current events as they relate to the ideas and concepts of starting their own business. This is a hands-on, activity-based course in which students formulate a simplified business plan and learn how new businesses are created. Research activities will take place on various entrepreneurs from small business owners to professional media magnates. Entrepreneurs from local businesses will speak on the realities of operating an enterprise and share their personal experiences as business owners when available.","Credits: 2.5
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Intro to Entrepreneurship
Developing/Marketing Your Product
Establishing Your Business
Managing Your Business & The Business Plan"
H16703,Business,Honors Personal Financial Management,"Honors Personal Financial Management is designed for those students who are highly motivated, independent learners and who have demonstrated superior skills in reading comprehension, writing, and research. This course is designed to inform students how personal finance directly correlates to their future success. Students will be exposed to the following topics: income and careers; money management; credit and debt management; planning, saving, and investing; becoming a critical consumer; and risk management and insurance. Students will learn how to set and prioritize financial goals, develop spending plans, obtain financial security, distinguish between wealth and income, and calculate the time value of money. This course will empower students to make informed financial decisions and recognize outcomes that promote financial independence. Students selecting Honors Personal Financial Management should have previous Honors course success and demonstrated advanced abilities with the motivation to pursue rigorous studies. Research and writing abilities are required to successfully complete an ongoing course project as well as respond to essay questions on unit tests.","Credits: 2.5
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: 80% or better in Honors U.S. History or 75% or better in AP U.S. History or 90% or better in Academic U.S. History AND 80% or better in Honors English II or 90% or better in Academic English II
Course Highlights:
Income & Careers
Money Management
Insurance/Real Estate
Planning, Saving & Investing
Financial Institutions
Financial Instruments"
H16037,Business,Introduction To Business,"In this introductory survey course, students will be exposed to major segments of the business environment in order to spark their interest in further study in business education. Students will gain a wide array of business experiences ranging from starting a business to marketing and financing a business venture. Students will study the interrelationships between economics, entrepreneurship, management, marketing/advertising, credit, personal finance and career planning.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Economics
Owning & Operating a Business
The World of Work  Management
Marketing Consumers
Finance & Accounting
International Business"
H16070,Business,Introduction To Marketing,"Students will gain an understanding of the importance of marketing in today's society. Students learn the various functions of Marketing, but also discover how each function fits with the others in real-world situations. They develop skills related to interpersonal communication, self-presentation, economics, marketing, sales, employability, career discovery, and ethical decision-making. Computer/technology applications and DECA activities are supported in this course. DECA, the co-curricular student organization, offers opportunities in leadership, community, and competitive events.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Future of Marketing
Socially Responsible Marketing
Social Media and E-Commerce
Develop a Marketing Strategy and Marketing Plan
Develop Successful Products
Distribution, Promotion, Advertising, & Selling
Marketing in a Global Economy"
H16705,Business,Personal Financial Management,"This course is designed to inform students how personal finance directly correlates to their future success. Students will be exposed to the following topics: income and careers; money management; credit and debt management; planning, saving, and investing; becoming a critical consumer; and risk management and insurance. Students will learn how to set and prioritize financial goals, develop spending plans, obtain financial security, distinguish between wealth and income, and calculate the time value of money. This course will empower students to make informed financial decisions and recognize outcomes that promote financial independence. Students selecting this Personal Financial Management level should expect to progress at a more deliberate pace than either Academic or Honors classes. This course is intended for students who need to continue to strengthen their reading, writing, and research skills.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites
Course Highlights:
Income & Careers
Money Management
Credit & Debit Management
Planning, Saving & investing
Critical Consumerism
Financial Institutions
Financial Instrument
Stock market"
H16721,Business,Social Media Marketing,"In this course, students will learn the practical knowledge and insights required to establish objectives and strategies, properly select the social media platforms to engage consumers, and monitor and measure the results of these efforts. Students will focus on the multi-disciplinary implications of social media and how to maintain a successful social media presence for an organization. Throughout the course, students will plan and execute social media campaigns using various platforms. 

In addition, students will gain an understanding of the importance of marketing in today's society. Students learn the various functions of Marketing, but also discover how each function fits with the others in real-world situations. They develop skills related to interpersonal communication, self-presentation, marketing, and career discovery. Computer/technology applications and DECA activities are supported in this course. DECA, the co-curricular student organization, offers opportunities in leadership, community, and competitive events.","Credits: 2.5
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Introduction to Social Media Marketing
Social Media Platforms
Influencer Marketing
Careers in Social Media Marketing"
H16145,Business,Sports & Entertainment Marketing,"Students will focus on marketing principles as they deal specifically in the industry of sports and entertainment. This class will take a look at the factors that have contributed to the growth of this industry; areas such as licensing, naming rights, merchandising, sponsorship, endorsements, and publicity will be explored. Students will plan and execute a major sport or entertainment project during the semester and research career opportunities in these fields. 

In addition, students will gain an understanding of the importance of marketing in today's society. Students learn the various functions of Marketing, but also discover how each function fits with the others in real-world situations. They develop skills related to interpersonal communication, self-presentation, marketing, and career discovery. Computer/technology applications and DECA activities are supported in this course. DECA, the co-curricular student organization, offers opportunities in leadership, community, and competitive events.

DECA","Credits: 2.5
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Sports & Entertainment Marketing Basics
Marketing the Product
Promoting Sports & Entertainment
Careers in Sports & Entertainment Marketing"
H13052,Computer Science,AP Computer Science A,"Advanced Placement Computer Science A is for students who wish to extend their knowledge of computer programming. This course applies advanced programming and problem-solving techniques using Java as the language. Topics will include fundamentals of object-oriented design, data types, searching and sorting techniques, and debugging. The course will be taught with the expectation that students will take the Advanced Placement Computer Science exam.

IMPORTANT:  Students enrolling in Advanced Placement Courses must have their parent or guardian complete the Advanced Placement Request form in Genesis.  Refer to the Guidelines for Scheduling
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: CS21 or CS1 >=83
Course Highlights:
Primitive types
Using Objects (Strings)
Booleans/Decision Control
Iteration
Writing Classes
Arrays
Array Lists
2D Arrays
Inheritance
Recursion"
H13311,Computer Science,AP Computer Science Principles,"Advanced Placement Computer Science Principles is designed to be equivalent to a first-semester introductory college computing course. In this course, students will develop computational thinking vital for success across all disciplines, such as using computational tools to analyze and study data and working with large data sets to analyze, visualize, and draw conclusions from trends. The course is unique in its focus on fostering student creativity. Students are encouraged to apply creative processes when developing computational artifacts and to think creatively while using computer software and other technology to explore questions that interest them. They will also develop effective communication and collaboration skills, work individually and collaboratively to solve problems, and discuss and write about the importance of these problems and the impacts to their community, society, and the world.

IMPORTANT:  Students enrolling in Advanced Placement Courses must have their parent or guardian complete the Advanced Placement Request form in Genesis.  Refer to the Guidelines for Scheduling
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: Algebra 2 >=83, AA2 >=80 or HA2 >=73
Course Highlights:
Digital Information
The Internet Data
Cybersecurity and Global Impacts
Variables, Conditionals, Functions
Lists, Loops, Traversals
Algorithms
Parameters, Returns, and Libraries"
H13057,Computer Science,Computer Science I,"Students enrolling in this course will be taught to program a personal computer and to apply their programming skills using JAVA to problem-solving situations. The course requires good computer knowledge, solid mathematical sense, and sharp analytical skills. Topics include mathematical notation, read, write, and decision statements, loops, nested loops, generation of random numbers, procedures, and arrays. The emphasis will be on developing appropriate programming style and technique.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Algebra 1 >=87
Course Highlights:
Output and formatting
Variables and operations
Methods
Decision Control
Loops
Arrays
Strings
Search/Sort Algorithms"
H13063,Computer Science,Computer Science In The 21st Century,"Students enrolling in this course will be taught apply 21st Century Skills through programming a personal computer and will apply their programming skills using JAVA to problem-solving situations. The course requires good computer knowledge, solid mathematical sense, and sharp analytical skills. Topics include mathematical notation, read, write, and decision statements, loops, nested loops, generation of random numbers, procedures, and arrays. The emphasis will be on developing good programming style and technique.","Credits: 5.0
Grade Levels: 09:","Prerequisites: Algebra 1 >=87
Course Highlights:
Output and formatting
Variables and operations
Methods
Decision Control
Loops
Arrays
Strings
Search/Sort Algorithms"
H13319,Computer Science,CS Academy: Computer Science Capstone,"The capstone course focuses on current technology trends, and places an emphasis on skills that are needed for internships.  Some of the topic covered will be virtualization, version control, memory management, artificial intelligence, client server relationships, web development, and resume building.  Students will be exposed to many different programming languages, IDEs, operating systems, and hardware throughout the course.  Projects in this course are designed to spark creativity and encourage exploration.  The overall goal of this course is for students to learn about advanced topics in a safe and community orientated environment with a focus on exciting projects.  At the end of the course all students will create a culminating project that is based on a topic in computer science.

Computer Science Academy

This course is only available for students in the Computer Science Academy.  The content of this course will rotate based on industry trends.

Computer Science Academy","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: AP/College 1.0","Prerequisites: Academy Mobile App and Virtual Reality >=83 and enrollment in Computer Science Academy
"
H13310,Computer Science,CS Topics: Data Structures,"Data Structures & Game Design is a continuation of the computer science program. This project-focused course is a more formal and more in-depth study of algorithms, data structures, and data abstraction. The use of recursive data structures and dynamically allocated structures is fundamental to the course. Other topics to be covered include graphical user interfaces (GUI) and multimedia (graphics and sound) applications.","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: AP/College 1.0","Prerequisites: AP Computer Science A>=83
Course Highlights:
File IO
Stacks
Queues and Priority Queues
SuperList
HashSets and TreeSets
HashMaps and TreeMaps
GUIs
Binary Search Trees
Graphs"
H13312,Computer Science,CS Topics: Mobile App Development,"Mobile Application Development is a continuation of the computer science program. This course will focus on creating apps for Android-based phones and tablets. Students will learn about the lifecycle of an application, activities, fragments, adapters, widgets, broadcasts, services, multi-threading, inner classes and other topics fundamental to app development. An emphasis will be placed on projects instead of written assessments. Students will also have the opportunity to use RESTful web services and a game engine during the course.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","Prerequisites: AP Comp Science A >=83
Course Highlights:
UI/UX Design
Multithreading
Android Lifecycle
Widgets
Fragments
REST api
Mobile Phone Sensors"
H13314,Computer Science,CS Topics: Virtual Reality & Game Design,"VR and Game Development is a continuation of the computer science program. Students in this project-based course will use the Unity game engine to build 2D and 3D games. This course will prepare students to create cross-platform games complete with physics, animation, networking, and AI. Students will also gain an understanding of level design, creating real-time multiplayer games, UI design, and how to deploy games to a variety of platforms including VR. C# will be used as a scripting language for this course.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: AP Comp Science A >=83
Course Highlights:
Machine Learning
2D/3D Physics 
C# Scripting
Graphics & Lighting
User Input
Animation
Navigation
Multiplayer Games"
H11010,English / Language Arts,Academic English I,"In Academic English I, students will develop reading, writing, speaking, and listening skills. This course involves literary analysis, grammar and vocabulary instruction, collaborative projects, research and inquiry, and oral presentations. Students are expected to complete process essays and timed writings, as well as participate in literary discourse.  Through a variety of writing assignments including literary analysis, narrative, and argumentative writing, students will learn to write with greater clarity, fluidity, and sophistication. This course requires students to read outside of class, as well as complete homework assignments on a regular basis.","Credits: 5.0
Grade Levels: 09:","Prerequisites:
Timed Short-Constructed Written Response
Timed Extended-Constructed Written Response
iReady Diagnostic
Teacher Checklist
Course Highlights:
The Odyssey
A Raisin in the Sun
A Separate Peace
Romeo and Juliet
Short Fiction
Nonfiction articles & essays
Formal academic writing"
H11022,English / Language Arts,Academic English II,"This course, which focuses on literature that explores the American experience, is designed to help students develop reading, writing, speaking, listening, language, and literary analysis skills. This course involves independent reading, literary analysis, grammar and vocabulary instruction, group projects, oral presentations, and research projects. Students are expected to complete timed writings, process essays, as well as participate in literary discourse. This course will focus on fiction. These texts serve as the basis for group discussions, literary analysis, and cross-curricular connections. Through a variety of writing assignments, students will develop competence in writing clear, correct, and effective English prose. There is both independent reading and writing.","Credits: 5.0
Grade Levels: 10:","Prerequisites: English I or Academic English I
Course Highlights:
The Great Gatsby
Of Mice and Men
The Catcher in the Rye
The Crucible
Fahrenheit 451
The Glass Castle
The Secret Life of Bees
Poetry and short fiction"
H11055,English / Language Arts,Academic English III,"This World literature course is designed to help students develop reading, writing, speaking, listening, language and literary analysis skills. This course prepares students for standardized tests, college and career readiness through independent reading, literary analysis, grammar and vocabulary instruction, group projects, oral presentations, research projects and an explanatory essay. Students are expected to complete timed writings, process essays, homework on a regular basis, and at least one outside reading project per quarter, as well as participate in literary discourse. This course will focus on nonfiction and fictional reading materials that serve as structural models and as the basis for group discussions, as well as for the writing of synthesis essays. Through a variety of writing assignments students will develop competence in writing clear, correct, and effective English prose. There is routine independent reading and writing.","Credits: 5.0
Grade Levels: 11:","Prerequisites: Academic English II or Honors English II.
Course Highlights:
A Doll's House
Macbeth
The Metamorphosis
The Namesake
Sold
Things Fall Apart
'A Modest Proposal'"
H11107,English / Language Arts,Academic English IV: Literature and Film,"This course is designed to prepare seniors for expository English classes that are typically mandatory for all college freshmen. Upon successful completion of this course, students will be able to compose coherently, developed, and grammatically correct essays that illustrate college-level discourse. Students will develop the skills necessary to paraphrase, summarize, respond to texts, synthesize appropriate scholarly source materials into a documented essay, follow MLA guidelines for documentation, and apply inferential and critical reading skills to college-level reading. The companion to this course is a study in how literature and drama are adapted for film and television. The analysis will discuss issues around managing and executing an adaptation. It will also explore contemporary issues like centering cultural narratives within the culture in question and the impact of translating historical narratives through a contemporary lens. The class will read the original literature and watch the films born from them. The course will cover full-length novels as well as short fiction, classic myths, poetry, and film.","Credits: 5.0
Grade Levels: 12:","Prerequisites: Academic English III or Honors III or AP English III.
Course Highlights:
Genre study focuses on the translation of literature to a visual medium, exploring the reason for and impact of changes made to the stories. Titles may include the following, but may be interchanged from year to year: What Dreams May Come
American Born Chinese
Crazy Rich Asians
Persuasion
The Laramie Project
Bridgerton
The Lovely Bones
Orpheus & Eurydice
The Birds
Additional short fiction
Non-Fiction Text Study and Exploration of the Following Genres of Writing: 
Personal Narrative Compare/Contrast Persuasive Writing Synthesis Essay"
H11105,English / Language Arts,Academic English IV: Sci. Fiction & Fantasy,"This course is designed to prepare seniors for expository English classes that are typically mandatory for all college freshmen. Upon successful completion of this course, students will be able to compose coherently, developed, and grammatically correct essays that illustrate college-level discourse. Students will develop the skills necessary to paraphrase, summarize, respond to texts, synthesize appropriate scholarly source materials into a documented essay, follow MLA guidelines for documentation, and apply inferential and critical reading skills to college-level reading. The companion to this course is Science fiction and fantasy novels which challenge readers to consider how the imagined worlds depicted are similar or different from the present. Students will explore the genre's roots by examining the characters, settings, and themes of core texts and investigating the relevance of the genre to the modern reader.","Credits: 5.0
Grade Levels: 12:","Prerequisites: Academic English III or Honors III or AP English III.
Course Highlights:
Six of Crows
Neverwhere
'The Color Master'
'When It Changed'
I, Robot
Free Guy

Non-Fiction Text Study and Exploration of the Following Genres of Writing: 

Personal Narrative 
Compare/Contrast 
Persuasive Writing 
Synthesis Essay"
H11101,English / Language Arts,Academic English IV:Contemporary Lit.,"This course is designed to prepare seniors for expository English classes that are typically mandatory for all college freshmen. Upon successful completion of this course, students will be able to compose coherently, developed, and grammatically correct essays that illustrate college-level discourse. Students will develop the skills necessary to paraphrase, summarize, respond to texts, synthesize appropriate scholarly source materials into a documented essay, follow MLA guidelines for documentation, and apply inferential and critical reading skills to college-level reading. The companion to this course, Contemporary Literature and the Short Story will focus on modern authors and the new face of the established literary canon. Students will study various writers working in multiple genres, including short fiction, novels, and poetry. Readings will include selections from masters around the world with a specific focus on fiction dated 1950-present.","Credits: 5.0
Grade Levels: 12:","Prerequisites: Academic English III or Honors III or AP English III.
Course Highlights:
Extremely Loud and Incredibly Close
A Streetcar Named Desire
'The Color Master'
Selections from Interpreter of Maladies
Selections from Flash Fiction Forward: 80 Very Short Stories
Selections from New Sudden Fiction: Short Short Stories From America
Selections from Flash Fiction: 72 Very Short Stories / Edited by James Thomas, Denise Thomas, and Tom Hazuka

Non-Fiction Text Study and Exploration of the Following Genres of Writing: 

Personal Narrative 
Compare/Contrast 
Persuasive Writing 
Synthesis Essay"
H11103,English / Language Arts,Academic English IV:Mystery And Crime,"This course is designed to prepare seniors for expository English classes that are typically mandatory for all college freshmen. Upon successful completion of this course, students will be able to compose coherently, developed, and grammatically correct essays that illustrate college-level discourse. Students will develop the skills necessary to paraphrase, summarize, respond to texts, synthesize appropriate scholarly source materials into a documented essay, follow MLA guidelines for documentation, and apply inferential and critical reading skills to college-level reading. The companion to this course is Mystery, Crime, and the Criminal. Throughout history, crime stories have fascinated readers as authors explore the evidence of true crimes and invent complicated plots in classic detective novels. In this course, students will examine the expansive mystery genre by reading about crimes and criminals to discover how a mystery is written and solved.","Credits: 5.0
Grade Levels: 12:","Prerequisites: Academic English III or Honors III or AP English III.
Course Highlights:
The Maltese Falcon
Defending Jacob
In Cold Blood

Non-Fiction Text Study and Exploration of the Following Genres of Writing: 

Personal Narrative 
Compare/Contrast 
Persuasive Writing 
Synthesis Essay"
H11037,English / Language Arts,AP English III-Lang/Comp.,"This extremely challenging and rigorous college-level course is designed for students who excel in reading, writing, and discussing challenging literature and rhetoric. They must be willing and able to work independently on analyzing and synthesizing essays and other non-fiction texts. Students are expected to apply their knowledge of rhetorical strategies, persuasive techniques, stylistic devices, structural elements, satirical devices, and modes of discourse into in-depth analyses of written texts. Students will read and respond to texts from the origin of the essay to contemporary works. Students will write numerous timed writings and persuasive literary commentaries. Consistent class participation, intellectual maturity, and academic integrity are a must! Students taking this course are encouraged to take the Advanced Placement examination in Language and Composition in May of their junior year.
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 
Additional GPA Weight: AP/College 1.0","Prerequisites: 87% or better in Honors English II or 93% or better in Academic English II.
Course Highlights:
Elements of rhetoric
Modes of Discourse
Methods of argumentation
Synthesis of multiple texts and forms
Contemporary social issues
Elements of language"
